Function,Calls,Total Time (s),Per Call Time (s),Cumulative Time (s)
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py', 512, '_parse')",3,8.6815e-05,2.8938333333333334e-05,0.000202916
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/utils.py', 273, '_is_ascii')",88,0.000128646,1.4618863636363637e-06,0.000201878
"('<frozen importlib._bootstrap_external>', 482, 'cache_from_source')",42,5.9336e-05,1.4127619047619048e-06,0.000193
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/zipfile/__init__.py', 387, '__init__')",13,0.000163833,1.2602538461538462e-05,0.00018795700000000002
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/zipfile/__init__.py', 1672, '_open_to_write')",13,3.85e-05,2.9615384615384614e-06,0.000179333
"('<frozen importlib._bootstrap_external>', 126, '_path_join')",182,0.00010213600000000001,5.611868131868133e-07,0.000177872
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 106, 'release')",52,8.6035e-05,1.6545192307692307e-06,0.000173999
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_compiler.py', 37, '_compile')",3,5.7275e-05,1.909166666666667e-05,0.000170958
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 231, '__call__')",242,0.000160752,6.642644628099174e-07,0.000160752
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 1446, 'format_dict')",44,0.00011833600000000001,2.689454545454546e-06,0.000156588
"('<frozen importlib._bootstrap>', 426, '_get_module_lock')",35,4.3961e-05,1.2560285714285715e-06,0.000152046
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/function_base.py', 25, 'linspace')",4,0.00012196300000000001,3.0490750000000003e-05,0.000147875
"('<frozen importlib._bootstrap>', 632, 'cached')",45,1.1338e-05,2.519555555555556e-07,0.000146625
"('~', 0, ""<method 'sub' of 're.Pattern' objects>"")",132,0.000143957,1.0905833333333333e-06,0.000143957
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/zipfile/__init__.py', 446, 'FileHeader')",26,8.1135e-05,3.120576923076923e-06,0.000143668
"('<frozen importlib._bootstrap_external>', 611, '_get_cached')",24,1.8081000000000002e-05,7.533750000000001e-07,0.00013528700000000002
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py', 779, '_extendLine_pretty')",101,4.1933e-05,4.151782178217822e-07,0.000133802
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/multiprocessing/process.py', 1, '<module>')",1,3.0792e-05,3.0792e-05,0.000128625
"('~', 0, ""<method 'read' of '_io.TextIOWrapper' objects>"")",1,0.00012495800000000002,0.00012495800000000002,0.000127791
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 186, '__format__')",44,0.00011170900000000001,2.5388409090909093e-06,0.000127413
"('~', 0, '<built-in method builtins.print>')",25,0.000123038,4.921520000000001e-06,0.000123038
